2020-04-20 00:04:343 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-20 00:04:123 INFO  HomePage :30 - Clicking on flights tab[[ChromeDriver: chrome on WINDOWS (ae9095902dfeea956351a2d2e61b6df4)] -> xpath: //button[@id='tab-flight-tab-hp']//span[@class='uitk-icon uitk-icon-flights']]
2020-04-20 00:04:842 INFO  FlightsPage :42 - Entering flying fromLondon (LHR-Heathrow)On flying from field[[ChromeDriver: chrome on WINDOWS (ae9095902dfeea956351a2d2e61b6df4)] -> id: flight-origin-hp-flight]
2020-04-20 00:04:658 INFO  FlightsPage :48 - Entering going toMumbai (BOM-Chhatrapati Shivaji Intl.) On going to field[[ChromeDriver: chrome on WINDOWS (ae9095902dfeea956351a2d2e61b6df4)] -> id: flight-destination-hp-flight]
2020-04-20 00:04:972 INFO  FlightsPage :54 - Entering departing date25/04/2020 On departing date field [[ChromeDriver: chrome on WINDOWS (ae9095902dfeea956351a2d2e61b6df4)] -> id: flight-departing-hp-flight]
2020-04-20 00:04:250 INFO  FlightsPage :62 - Entering returning date23/05/2020 On returning date field[[ChromeDriver: chrome on WINDOWS (ae9095902dfeea956351a2d2e61b6df4)] -> id: flight-returning-hp-flight]
2020-04-20 00:04:473 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-20 00:04:589 INFO  HomePage :36 - Clicking on account menu[[ChromeDriver: chrome on WINDOWS (21a25bf34ce93c0ee8f6c0627d2695f4)] -> id: header-account-menu]
2020-04-20 00:04:753 INFO  AccountPage :29 - Clicking On SignIn Button[[ChromeDriver: chrome on WINDOWS (21a25bf34ce93c0ee8f6c0627d2695f4)] -> id: header-account-signin-button]
2020-04-20 00:04:506 INFO  SignInPage :37 - Entering emailabc@gmail.com On email address field [[ChromeDriver: chrome on WINDOWS (21a25bf34ce93c0ee8f6c0627d2695f4)] -> id: gss-signin-email]
2020-04-20 00:04:409 INFO  SignInPage :43 - Entering passwordabc123 On password field [[ChromeDriver: chrome on WINDOWS (21a25bf34ce93c0ee8f6c0627d2695f4)] -> id: gss-signin-password]
2020-04-20 00:04:522 INFO  SignInPage :49 - Clicking on sign in button[[ChromeDriver: chrome on WINDOWS (21a25bf34ce93c0ee8f6c0627d2695f4)] -> id: gss-signin-submit]
2020-04-20 00:04:546 INFO  SignInPage :54 - Getting text from error message[[ChromeDriver: chrome on WINDOWS (21a25bf34ce93c0ee8f6c0627d2695f4)] -> id: gss-signin-incorrect-email-or-password]
2020-04-20 00:04:727 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-20 00:04:686 INFO  HomePage :36 - Clicking on account menu[[ChromeDriver: chrome on WINDOWS (8d387f7986edf9976daef4236de17f07)] -> id: header-account-menu]
2020-04-20 00:04:843 INFO  AccountPage :29 - Clicking On SignIn Button[[ChromeDriver: chrome on WINDOWS (8d387f7986edf9976daef4236de17f07)] -> id: header-account-signin-button]
2020-04-20 00:04:655 INFO  SignInPage :37 - Entering email abc@gmail.com On email address field [[ChromeDriver: chrome on WINDOWS (8d387f7986edf9976daef4236de17f07)] -> id: gss-signin-email]
2020-04-20 00:04:838 INFO  SignInPage :43 - Entering password abc123 On password field [[ChromeDriver: chrome on WINDOWS (8d387f7986edf9976daef4236de17f07)] -> id: gss-signin-password]
